X	Y	Predichos	Varianza
394351.30203182	6154907.96293256	195.942790266291	5698.93889321014
404351.30203182	6154907.96293256	198.415435746278	4863.42094814507
414351.30203182	6154907.96293256	211.29144485288	4236.10104284936
424351.30203182	6154907.96293256	241.229663307793	4056.05143267912
434351.30203182	6154907.96293256	285.781195494552	3792.76371069384
444351.30203182	6154907.96293256	332.569468104395	3047.13180362094
454351.30203182	6154907.96293256	351.791140088333	3188.42865344736
464351.30203182	6154907.96293256	347.577434091897	4375.89911995798
314351.30203182	6164907.96293256	218.168988707307	3973.40728529922
324351.30203182	6164907.96293256	216.882652446597	4590.46528306959
334351.30203182	6164907.96293256	209.428090529965	5648.73589227296
344351.30203182	6164907.96293256	202.204620995629	6394.5699778691
354351.30203182	6164907.96293256	196.266486391607	6782.11672822
364351.30203182	6164907.96293256	191.570258856056	6875.01063241705
374351.30203182	6164907.96293256	191.98056775179	6728.25990324576
384351.30203182	6164907.96293256	189.110655519058	6353.46210948485
394351.30203182	6164907.96293256	187.651928253352	5762.02918135409
404351.30203182	6164907.96293256	189.379697617061	4992.57612931556
414351.30203182	6164907.96293256	198.229104634399	4221.75450856848
424351.30203182	6164907.96293256	220.535162354013	3869.3279557389
434351.30203182	6164907.96293256	255.650348052897	3863.28730982904
444351.30203182	6164907.96293256	289.987382494934	3510.2599293438
454351.30203182	6164907.96293256	310.850898360617	3094.76932617742
464351.30203182	6164907.96293256	320.244148811637	3837.12090946086
314351.30203182	6174907.96293256	199.788021191267	5608.55758084585
324351.30203182	6174907.96293256	201.113632446632	5740.07913896378
334351.30203182	6174907.96293256	197.787616815346	6181.99093886602
344351.30203182	6174907.96293256	192.843527643262	6573.77475591844
354351.30203182	6174907.96293256	187.8425210452	6778.74615239088
364351.30203182	6174907.96293256	183.382279959226	6783.98073490343
374351.30203182	6174907.96293256	182.569355604019	6609.06037871675
384351.30203182	6174907.96293256	179.742981195995	6253.74164469656
394351.30203182	6174907.96293256	177.877105043823	5673.0203743779
404351.30203182	6174907.96293256	177.024777623826	4742.40980241079
414351.30203182	6174907.96293256	177.709758398543	3303.76201609565
424351.30203182	6174907.96293256	190.829226292788	2501.45450640595
434351.30203182	6174907.96293256	226.096144524873	3463.84735074549
444351.30203182	6174907.96293256	257.274561781935	3279.28378433745
454351.30203182	6174907.96293256	277.042200587821	1362.19628263181
464351.30203182	6174907.96293256	294.705896912657	3055.53097973017
314351.30203182	6184907.96293256	184.962178476585	6534.17962846931
324351.30203182	6184907.96293256	187.075107063462	6483.88599674732
334351.30203182	6184907.96293256	185.787929864253	6604.74490739977
344351.30203182	6184907.96293256	182.452487379208	6729.53011631645
354351.30203182	6184907.96293256	178.211951888641	6752.40419368943
364351.30203182	6184907.96293256	173.882371250352	6640.37717137644
374351.30203182	6184907.96293256	170.198634851278	6405.17015860319
384351.30203182	6184907.96293256	169.516253708719	6060.75966024847
394351.30203182	6184907.96293256	168.287715291342	5551.19269933027
404351.30203182	6184907.96293256	167.643651540557	4689.38827286759
414351.30203182	6184907.96293256	166.568668318449	3191.06674752736
424351.30203182	6184907.96293256	175.789510580686	2262.9130604051
434351.30203182	6184907.96293256	208.964122127513	3561.12959930199
444351.30203182	6184907.96293256	237.91964271479	3719.90115508286
454351.30203182	6184907.96293256	259.878400239675	3182.20967789986
