X	Y	Predichos	Varianza
458351.30203182	6126907.96293256	375.943529083864	6836.55084450897
460351.30203182	6126907.96293256	377.71323926832	7087.06714609768
462351.30203182	6126907.96293256	376.729099649662	7351.27419553453
464351.30203182	6126907.96293256	378.692675554622	7620.30922674953
308351.30203182	6128907.96293256	270.792291694663	9662.27570719268
310351.30203182	6128907.96293256	271.196534855083	9423.0594314722
312351.30203182	6128907.96293256	271.534614622177	9221.38101526603
314351.30203182	6128907.96293256	270.013022945056	8819.32550567355
316351.30203182	6128907.96293256	270.2783992108	8710.91006452845
318351.30203182	6128907.96293256	270.466625230188	8636.02099914922
320351.30203182	6128907.96293256	270.579294092377	8592.01482406419
322351.30203182	6128907.96293256	270.619506321682	8575.43079131533
324351.30203182	6128907.96293256	270.591498548862	8582.25471593144
326351.30203182	6128907.96293256	270.500216977397	8608.19880808416
328351.30203182	6128907.96293256	270.350902088471	8648.95716787881
330351.30203182	6128907.96293256	270.148732964996	8700.410468361
332351.30203182	6128907.96293256	269.898556095332	8758.76912273039
334351.30203182	6128907.96293256	269.604702810002	8820.65698883381
336351.30203182	6128907.96293256	269.270885612769	8883.14536761474
338351.30203182	6128907.96293256	268.900157013694	8943.75001611468
340351.30203182	6128907.96293256	268.49491323241	9000.40356614947
342351.30203182	6128907.96293256	256.801027154521	8689.71510022786
344351.30203182	6128907.96293256	256.481473743665	8743.29061782363
346351.30203182	6128907.96293256	256.134215618571	8788.83743939611
348351.30203182	6128907.96293256	255.76059719886	8825.55725400695
350351.30203182	6128907.96293256	255.361335884461	8852.81961880623
352351.30203182	6128907.96293256	254.936610470562	8870.12593025026
354351.30203182	6128907.96293256	254.486141224284	8877.07792108042
356351.30203182	6128907.96293256	254.00926132219	8873.35048727471
358351.30203182	6128907.96293256	253.50498011531	8858.66845656453
360351.30203182	6128907.96293256	252.972039120546	8832.78682854771
362351.30203182	6128907.96293256	252.408961879009	8795.47400331495
364351.30203182	6128907.96293256	251.814098948914	8746.49754259409
366351.30203182	6128907.96293256	251.185669397677	8685.61205733094
368351.30203182	6128907.96293256	250.52180021663	8612.54887747181
370351.30203182	6128907.96293256	248.996809913131	8504.80640364037
372351.30203182	6128907.96293256	248.304171166612	8408.95277160817
374351.30203182	6128907.96293256	247.570254465118	8299.74074889816
376351.30203182	6128907.96293256	246.793149488459	8176.72992062335
378351.30203182	6128907.96293256	245.971084687064	8039.42602229673
380351.30203182	6128907.96293256	245.10250299481	7887.27886682839
382351.30203182	6128907.96293256	237.806024194625	7528.17950078736
384351.30203182	6128907.96293256	237.025903890412	7355.40772013186
386351.30203182	6128907.96293256	236.207418186485	7166.09056303649
388351.30203182	6128907.96293256	235.351425477973	6959.44798814523
390351.30203182	6128907.96293256	234.45998662195	6734.69152956145
392351.30203182	6128907.96293256	230.304974077546	6477.62276871263
394351.30203182	6128907.96293256	229.531466458105	6215.70127522004
396351.30203182	6128907.96293256	228.768060047946	5934.0954840163
398351.30203182	6128907.96293256	219.025997630429	5577.4825527418
400351.30203182	6128907.96293256	218.928847611752	5267.38992118339
402351.30203182	6128907.96293256	218.735106323332	4935.28720583628
404351.30203182	6128907.96293256	218.675171498729	4590.05502965882
406351.30203182	6128907.96293256	218.833012258424	4239.55153455828
408351.30203182	6128907.96293256	219.342142692598	3897.69036831578
410351.30203182	6128907.96293256	220.409827832106	3587.49667378024
412351.30203182	6128907.96293256	222.331580182576	3342.86487761084
414351.30203182	6128907.96293256	222.629500550169	3198.86598103753
416351.30203182	6128907.96293256	227.327733934698	3189.07957572962
418351.30203182	6128907.96293256	233.344768913517	3299.93221413122
420351.30203182	6128907.96293256	240.414335761939	3493.53068082515
422351.30203182	6128907.96293256	248.209588292202	3726.64784621609
424351.30203182	6128907.96293256	256.460300059679	3966.24965147438
426351.30203182	6128907.96293256	264.97354958985	4191.72650866885
428351.30203182	6128907.96293256	273.613559460696	4391.88571111985
430351.30203182	6128907.96293256	282.277876933946	4561.77418807802
432351.30203182	6128907.96293256	290.87962038366	4700.53958695294
434351.30203182	6128907.96293256	299.335653056739	4810.1982914394
436351.30203182	6128907.96293256	307.559098087975	4894.97690412325
438351.30203182	6128907.96293256	315.455292725177	4960.94771550054
440351.30203182	6128907.96293256	322.92116746555	5015.73856140863
442351.30203182	6128907.96293256	330.781073818502	5067.35464900346
444351.30203182	6128907.96293256	350.352317079565	5246.31047699725
