ID	Xt	Yt	GUSg10	CATGUSg10	GUSg40	CATGUSg40
191	461851.302	6132407.963	2.1464343320198	Moderado	3.43871656734168	Alto
192	464351.302	6132407.963	2.12271125814014	Moderado	3.40071077980775	Alto
194	309351.302	6134907.963	2.58296974580607	Moderado	4.13807248856646	Muy alto
195	311851.302	6134907.963	2.5876688480244	Moderado	4.1456007322256	Muy alto
196	314351.302	6134907.963	2.58682941009108	Moderado	4.14425590229743	Muy alto
197	316851.302	6134907.963	2.56574537825021	Moderado	4.1104780184293	Muy alto
198	319351.302	6134907.963	2.53367602155933	Moderado	4.0591009851272	Muy alto
199	321851.302	6134907.963	2.50318674199775	Moderado	4.01025533017718	Muy alto
200	324351.302	6134907.963	2.47153175487833	Moderado	3.95954214178716	Alto
201	326851.302	6134907.963	2.44709405249151	Moderado	3.92039147651326	Alto
202	329351.302	6134907.963	2.42317671774825	Moderado	3.88207447142189	Alto
203	331851.302	6134907.963	2.39856205149087	Moderado	3.84264029941105	Alto
204	334351.302	6134907.963	2.38400949898852	Moderado	3.81932623727533	Alto
205	336851.302	6134907.963	2.37328921514313	Moderado	3.80215169943095	Alto
206	339351.302	6134907.963	2.3681657460668	Moderado	3.79394359460696	Alto
207	341851.302	6134907.963	2.36950051246835	Moderado	3.79608197045664	Alto
208	344351.302	6134907.963	2.37022457934198	Moderado	3.79724196902594	Alto
209	346851.302	6134907.963	2.37595124143753	Moderado	3.80641642525307	Alto
210	349351.302	6134907.963	2.38003095122078	Moderado	3.81295236507304	Alto
211	351851.302	6134907.963	2.38575605175137	Moderado	3.82212431957944	Alto
212	354351.302	6134907.963	2.39922830292352	Moderado	3.84370767417546	Alto
213	356851.302	6134907.963	2.42087767669582	Moderado	3.87839126973337	Alto
214	359351.302	6134907.963	2.45417374040888	Moderado	3.93173356127676	Alto
215	361851.302	6134907.963	2.48277395409729	Moderado	3.97755281937039	Alto
216	364351.302	6134907.963	2.5029960068666	Moderado	4.00994976105464	Muy alto
217	366851.302	6134907.963	2.52227672784469	Moderado	4.04083863273759	Muy alto
218	369351.302	6134907.963	2.51561924078294	Moderado	4.03017293907318	Muy alto
219	371851.302	6134907.963	2.4909376782677	Moderado	3.99063159524405	Alto
220	374351.302	6134907.963	2.46923795291715	Moderado	3.95586733343713	Alto
221	376851.302	6134907.963	2.47794472061657	Moderado	3.96981609762215	Alto
222	379351.302	6134907.963	2.53462972839038	Moderado	4.06062888068469	Muy alto
223	381851.302	6134907.963	2.49382453931522	Moderado	3.9952565198288	Alto
224	384351.302	6134907.963	2.46651156923818	Moderado	3.95149950322403	Alto
225	386851.302	6134907.963	2.47317023375896	Moderado	3.96216708324845	Alto
226	389351.302	6134907.963	2.47731311370342	Moderado	3.96880422545635	Alto
227	391851.302	6134907.963	2.46546396475643	Moderado	3.94982117799709	Alto
228	394351.302	6134907.963	2.43523661373359	Moderado	3.90139514827958	Alto
229	396851.302	6134907.963	2.38542101711855	Moderado	3.82158757399849	Alto
230	399351.302	6134907.963	2.32122593378482	Moderado	3.71874319934955	Alto
231	401851.302	6134907.963	2.26965801163188	Moderado	3.6361282944324	Alto
232	404351.302	6134907.963	2.21953173256347	Moderado	3.55582298822277	Alto
233	406851.302	6134907.963	2.18112374870671	Moderado	3.49429109393829	Alto
234	409351.302	6134907.963	2.14857171633719	Moderado	3.44214078524266	Alto
235	411851.302	6134907.963	2.12507493781203	Moderado	3.40449753644241	Alto
236	414351.302	6134907.963	2.10504506330009	Moderado	3.37240847585551	Alto
237	416851.302	6134907.963	2.10104127906763	Moderado	3.36599417332277	Alto
238	419351.302	6134907.963	2.10292934115689	Moderado	3.36901896205713	Alto
239	421851.302	6134907.963	2.10583687559276	Moderado	3.37367700665024	Alto
240	424351.302	6134907.963	2.12084751764875	Moderado	3.39772495573228	Alto
241	426851.302	6134907.963	2.13819496322465	Moderado	3.42551660424117	Alto
242	429351.302	6134907.963	2.15518440205006	Moderado	3.45273470445848	Alto
243	431851.302	6134907.963	2.17503589629258	Moderado	3.48453798915249	Alto
244	434351.302	6134907.963	2.18515189651442	Moderado	3.50074442838018	Alto
246	439351.302	6134907.963	2.17029003047817	Moderado	3.47693482740702	Alto
247	441851.302	6134907.963	2.14137663846819	Moderado	3.43061383885425	Alto
248	444351.302	6134907.963	2.1150400289078	Moderado	3.38842101037032	Alto
249	446851.302	6134907.963	2.11039701037631	Moderado	3.38098261614202	Alto
251	451851.302	6134907.963	2.12343832098926	Moderado	3.40187557810951	Alto
253	456851.302	6134907.963	2.15127249679576	Moderado	3.4464675975607	Alto
254	459351.302	6134907.963	2.16037417133378	Moderado	3.46104902619215	Alto
255	461851.302	6134907.963	2.14816519335316	Moderado	3.4414895110344	Alto
256	464351.302	6134907.963	2.13071479519729	Moderado	3.41353292631613	Alto
258	309351.302	6137407.963	2.59808570215136	Moderado	4.16228915745791	Muy alto
259	311851.302	6137407.963	2.60017474421009	Moderado	4.1656359281604	Muy alto
260	314351.302	6137407.963	2.60133547350621	Moderado	4.16749548612648	Muy alto
